id,title,url,type,trustLabel,board,topic,difficulty,learningStyle,whyHelpful,focusArea,estimatedTime,safetySensitive,bestFor,pathTags
ard-006,Arduino Project Hub: Getting Started with HC-SR04 Ultrasonic Sensor,https://projecthub.arduino.cc/Isaac100/getting-started-with-the-hc-sr04-ultrasonic-sensor-7cabe1,mini project,Curated,Arduino,ultrasonic sensor,beginner-plus,hands-on,"Introduces the HC-SR04 distance sensor, a key stepping-stone for obstacle avoiding robots.","Trigger pin, echo pin, distance measurement.",45-75 min,False,robotics; obstacle detection; Arduino,optimal; fastest
ard-007,Adafruit Arduino Lesson 14: Servo Motors,https://learn.adafruit.com/adafruit-arduino-lesson-14-servo-motors/overview,written guide,Curated,Arduino,servo motor,beginner-plus,written,"Teaches servo control, a safer first movement step before DC motors.","Servo sweep, angle control, PWM-like signals.",45-60 min,True,robotics; servo; Arduino,optimal; deep-learning
ard-008,Adafruit Arduino Lesson 13: DC Motors,https://learn.adafruit.com/adafruit-arduino-lesson-13-dc-motors/overview,written guide,Curated,Arduino,DC motors,intermediate,written,Introduces motor control and why motors need support circuitry.,"DC motor control, transistor/driver basics, motor safety.",60-90 min,True,robotics; motors; mentor review,deep-learning
ard-009,SparkFun: TB6612FNG Hookup Guide,https://learn.sparkfun.com/tutorials/tb6612fng-hookup-guide/all,written guide,Curated,Arduino,motor driver,intermediate,written,Teaches a common motor driver used for two DC motors in robot builds.,"H-bridge, PWM, direction control, standby pin, external motor power.",60-90 min,True,robotics; motor driver; Arduino,deep-learning; optimal
ard-010,Arduino Project Hub: Obstacle Avoiding Robot,https://projecthub.arduino.cc/aakash11/obstacle-avoiding-robot-8018ae,mini project,Curated,Arduino,obstacle avoiding robot,intermediate,hands-on,"Full robot example using Arduino, ultrasonic sensing, motors, and a driver.","Combining distance sensing, steering logic, and motor control.",3-6 hr,True,robotics; obstacle avoiding robot; final project preview,fastest; optimal
ard-011,SparkFun Tinker Kit: Blink an LED,https://learn.sparkfun.com/tutorials/activity-guide-for-sparkfun-tinker-kit/circuit-1-blink-an-led,mini project,Curated,Arduino,LED blink,beginner,hands-on,A guided first LED circuit with parts list and basic code flow.,"Breadboard LED circuit, resistor, jumper wires.",20-40 min,False,Arduino; first circuit; hands-on,fastest; lowest-cost; optimal
pico-001,Raspberry Pi Projects: Getting Started with Raspberry Pi Pico,https://projects.raspberrypi.org/en/projects/getting-started-with-the-pico,official docs,Official,Raspberry Pi Pico W,Pico MicroPython basics,beginner,written,Official beginner project for connecting a Pico and blinking the onboard LED with MicroPython.,"Thonny, MicroPython, onboard LED.",30-45 min,False,Pico W; MicroPython; beginner,optimal; fastest; lowest-cost
pico-002,Raspberry Pi Projects: Introduction to the Pico,https://projects.raspberrypi.org/en/projects/introduction-to-the-pico,official docs,Official,Raspberry Pi Pico W,Pico beginner basics,beginner,written,Uses the picozero beginner library to make Pico projects easier for new learners.,"picozero, MicroPython, first input/output projects.",45-60 min,False,Pico W; absolute beginner; education,deep-learning; optimal
pico-003,Raspberry Pi Projects: Get Started with Pico W,https://projects.raspberrypi.org/en/projects/get-started-pico-w,official docs,Official,Raspberry Pi Pico W,Pico W Wi-Fi web server,beginner-plus,written,Shows Pico W Wi-Fi and web server basics for IoT-style projects.,"Wi-Fi connection, MicroPython, simple web server.",60-90 min,False,Pico W; IoT; room security alert,optimal; fastest
pico-004,Raspberry Pi Documentation: MicroPython on Microcontrollers,https://www.raspberrypi.com/documentation/microcontrollers/micropython.html,official docs,Official,Raspberry Pi Pico W,MicroPython setup,beginner-plus,written,Official documentation for installing MicroPython and using the Pico with Thonny or serial tools.,"MicroPython UF2, REPL, SDK references.",Reference,False,Pico W; setup; debugging,deep-learning; optimal
pico-005,MicroPython Docs: RP2 Quick Reference,https://docs.micropython.org/en/latest/rp2/quickref.html,official docs,Official,Raspberry Pi Pico W,MicroPython GPIO,beginner-plus,written,"Quick reference for GPIO, PWM, ADC, I2C, SPI, and other Pico MicroPython features.","Pins, PWM, ADC, machine module.",Reference,False,Pico W; MicroPython; sensors,deep-learning
pico-006,Raspberry Pi Projects: LED Firefly,https://projects.raspberrypi.org/en/projects/led-firefly,mini project,Official,Raspberry Pi Pico W,LED pattern,beginner,hands-on,A simple Pico LED project that helps learners practice output and timing.,"LED control, code loops, timing.",30-45 min,False,Pico W; first circuit; hands-on,fastest; lowest-cost
pico-007,Random Nerd Tutorials: Raspberry Pi Pico and Pico W Projects,https://randomnerdtutorials.com/projects-raspberry-pi-pico/,written guide,Curated,Raspberry Pi Pico W,Pico W project collection,beginner-plus,written,"A large collection of Pico and Pico W guides with diagrams, code, and images.","Sensors, Wi-Fi, MicroPython projects.",Reference,False,Pico W; IoT; room security; robotics,optimal; deep-learning
esp-001,Espressif Docs: Get Started with ESP32,https://docs.espressif.com/projects/esp-idf/en/stable/esp32/get-started/index.html,official docs,Official,ESP32,ESP32 setup,intermediate,written,Official ESP-IDF setup guide for learners who want deeper ESP32 development.,"ESP-IDF install, toolchain, first build.",60-120 min,False,ESP32; deep-learning; advanced IoT,deep-learning
esp-002,Arduino Cloud Documentation,https://docs.arduino.cc/arduino-cloud,official docs,Official,Arduino,IoT cloud,beginner-plus,written,"Shows how to code, deploy, and monitor IoT projects using Arduino Cloud.","IoT dashboard, connected variables, cloud monitoring.",45-90 min,False,IoT; dashboard; remote monitoring,optimal; fastest
esp-003,Random Nerd Tutorials: Getting Started with ESP32,https://randomnerdtutorials.com/getting-started-with-esp32/,written guide,Curated,ESP32,ESP32 beginner basics,beginner,written,"Beginner-friendly introduction to ESP32 boards, setup, and first program.","Board selection, Arduino IDE setup, first sketch.",45-75 min,False,ESP32; IoT; beginner,optimal; lowest-cost
esp-004,Random Nerd Tutorials: ESP32 Web Server with Arduino IDE,https://randomnerdtutorials.com/esp32-web-server-arduino-ide/,mini project,Curated,ESP32,ESP32 web server,beginner-plus,hands-on,Teaches a practical local web server to control or monitor outputs from a phone/browser.,"Wi-Fi server, GPIO control, local dashboard.",60-90 min,False,IoT; home automation; smart devices,fastest; optimal
esp-005,Random Nerd Tutorials: ESP32 Web Server Beginner's Guide,https://randomnerdtutorials.com/esp32-web-server-beginners-guide/,written guide,Curated,ESP32,ESP32 web server theory,beginner-plus,written,Explains the web-server concepts behind ESP32 remote control and monitoring.,"HTTP, web server basics, controlling outputs remotely.",60-120 min,False,IoT; deep-learning; ESP32,deep-learning; optimal
esp-006,Random Nerd Tutorials: ESP32 Useful Wi-Fi Functions,https://randomnerdtutorials.com/esp32-useful-wi-fi-functions-arduino/,written guide,Curated,ESP32,Wi-Fi functions,beginner-plus,written,"Useful when the user's dream project needs Wi-Fi scanning, connection, or troubleshooting.","Wi-Fi scan, connect, status, IP address.",45-75 min,False,IoT; ESP32; debugging,deep-learning; optimal
esp-007,Random Nerd Tutorials: ESP-NOW with ESP32,https://randomnerdtutorials.com/esp-now-esp32-arduino-ide/,written guide,Curated,ESP32,ESP-NOW communication,intermediate,written,Useful for projects where multiple ESP32 boards communicate without a standard Wi-Fi router.,"ESP-NOW, device-to-device messages, wireless sensor networks.",90-150 min,False,IoT; wireless sensors; advanced ESP32,deep-learning
esp-008,Random Nerd Tutorials: ESP32 DHT11/DHT22 Sensor,https://randomnerdtutorials.com/esp32-dht11-dht22-temperature-humidity-sensor-arduino-ide/,mini project,Curated,ESP32,temperature humidity sensor,beginner-plus,hands-on,"Good first environmental sensor for smart plant, room monitor, and IoT dashboard projects.","DHT wiring, reading temperature/humidity, Arduino IDE.",45-75 min,False,IoT; smart plant monitor; environmental sensor,fastest; optimal
esp-009,Random Nerd Tutorials: ESP32 DHT Web Server,https://randomnerdtutorials.com/esp32-dht11-dht22-temperature-humidity-web-server-arduino-ide/,mini project,Curated,ESP32,sensor dashboard,beginner-plus,hands-on,Combines sensors and web dashboard output for IoT monitoring.,"Sensor readings on a web page, auto-updating dashboard.",90-150 min,False,IoT dashboard; smart plant monitor; home monitoring,optimal
esp-010,Random Nerd Tutorials: Telegram ESP32 Motion Detection,https://randomnerdtutorials.com/telegram-esp32-motion-detection-arduino/,mini project,Curated,ESP32,motion alert Telegram,beginner-plus,hands-on,Directly supports room security alert projects with PIR sensor and phone notifications.,"PIR motion sensor, Telegram bot, Wi-Fi notification.",90-150 min,False,room security; phone alert; ESP32,fastest; optimal
esp-011,Random Nerd Tutorials: ESP32 Door Status Telegram Notifications,https://randomnerdtutorials.com/esp32-door-status-telegram/,mini project,Curated,ESP32,door sensor alert Telegram,beginner-plus,hands-on,Useful for home security projects that detect a door opening and send an alert.,"Reed switch, Telegram bot, door status changes.",90-150 min,False,room security; door alert; ESP32,fastest; optimal
esp-012,Random Nerd Tutorials: ESP32 Sensor and Module Guides,https://randomnerdtutorials.com/esp32-guides-sensors-modules/,written guide,Curated,ESP32,sensor library,beginner-plus,written,A broad index for matching many sensors to ESP32 projects.,"ESP32 sensor modules, wiring, code examples.",Reference,False,ESP32; sensors; resource fallback,optimal; deep-learning
sens-001,SparkFun: Qwiic Ultrasonic Distance Sensor HC-SR04 Hookup Guide,https://learn.sparkfun.com/tutorials/qwiic-ultrasonic-distance-sensor-hc-sr04-hookup-guide/all,written guide,Curated,General Electronics,ultrasonic sensor,beginner-plus,written,Explains ultrasonic distance sensing and a beginner-friendly Qwiic version.,"Distance readings, I2C/Qwiic connection, sensor usage.",45-75 min,False,robotics; obstacle sensing; distance alert,optimal; deep-learning
sens-002,Random Nerd Tutorials: Soil Moisture Sensor with Arduino,https://randomnerdtutorials.com/guide-for-soil-moisture-sensor-yl-69-or-hl-69-with-the-arduino/,mini project,Curated,Arduino,soil moisture sensor,beginner,hands-on,A simple soil moisture sensor project for smart plant monitors.,"Analog sensor reading, soil wet/dry values, serial output.",45-75 min,False,smart plant monitor; Arduino; sensor basics,fastest; lowest-cost
sens-003,ESP32IO: ESP32 Soil Moisture Sensor,https://esp32io.com/tutorials/esp32-soil-moisture-sensor,written guide,Curated,ESP32,soil moisture sensor,beginner-plus,written,"Shows soil moisture measurement using ESP32, helpful for smart plant IoT projects.","Capacitive vs resistive sensor, calibration, wet/dry thresholds.",45-75 min,False,smart plant monitor; ESP32; IoT,optimal
sim-001,Tinkercad Circuits,https://www.tinkercad.com/circuits,simulator,Official,General Electronics,circuit simulation,beginner,hands-on,"Beginner-friendly browser simulator for circuits, electronics, and coding.","Virtual circuits, beginner wiring practice, Arduino simulation.",Reference,False,lowest-cost; no hardware; absolute beginner,lowest-cost; fastest
sim-002,Tinkercad Learn Circuits,https://www.tinkercad.com/learn/circuits,simulator,Official,General Electronics,circuit lessons,beginner,hands-on,Guided learning area for beginners using Tinkercad Circuits.,"Basic circuit practice, guided virtual lessons.",Reference,False,lowest-cost; simulator-first; beginner,lowest-cost; deep-learning
sim-003,Wokwi Documentation,https://docs.wokwi.com/,simulator,Official,Arduino/ESP32/Pico,microcontroller simulation,beginner-plus,hands-on,"Online electronics simulator for Arduino, ESP32, Raspberry Pi Pico, parts, and sensors.",Simulating boards and sensors in the browser.,Reference,False,no hardware; ESP32; Pico W; Arduino,lowest-cost; fastest; optimal
sim-004,Wokwi: Create a New Project,https://wokwi.com/projects/new,simulator,Official,Arduino/ESP32/Pico,start simulation,beginner-plus,hands-on,"Lets learners quickly start a simulation with Arduino, ESP32, Pico, or a blank project.",Start a virtual microcontroller project quickly.,Reference,False,fastest prototype; no hardware; demo,fastest; lowest-cost
sim-005,Wokwi Supported Hardware,https://docs.wokwi.com/getting-started/supported-hardware,official docs,Official,Arduino/ESP32/Pico,supported simulator hardware,beginner-plus,written,"Shows which boards, sensors, displays, and parts can be simulated in Wokwi.",Confirm whether a board or part can be simulated.,Reference,False,simulator; resource matching; project planning,lowest-cost; optimal
pi-001,Raspberry Pi Projects: Physical Computing with Python,https://projects.raspberrypi.org/en/projects/physical-computing,official docs,Official,Raspberry Pi 5,GPIO physical computing,beginner-plus,written,"Introduces using Raspberry Pi GPIO pins with LEDs, PIR sensors, and motors in Python.","Raspberry Pi GPIO, LEDs, sensors, motors.",60-120 min,True,Raspberry Pi; robotics; camera robot later,deep-learning; optimal
pi-002,Raspberry Pi Projects: Physical Computing Technology Page,https://projects.raspberrypi.org/en/technology/physical_computing,official docs,Official,Raspberry Pi 5 / Pico W,physical computing project index,beginner,written,A project index for physical computing activities including Pico and Raspberry Pi.,Choose next official projects for physical computing.,Reference,False,resource matching; Raspberry Pi; Pico W,optimal; deep-learning
pi-003,Raspberry Pi Documentation: Camera Hardware,https://www.raspberrypi.com/documentation/accessories/camera.html,official docs,Official,Raspberry Pi 5,camera hardware setup,beginner-plus,written,Official instructions for connecting Raspberry Pi camera hardware safely.,"Camera connector, cable orientation, hardware setup.",30-45 min,True,camera project; computer vision robot; Raspberry Pi,optimal; deep-learning
pi-004,Raspberry Pi Documentation: Camera Software,https://www.raspberrypi.com/documentation/computers/camera_software.html,official docs,Official,Raspberry Pi 5,camera software,intermediate,written,Official Raspberry Pi camera software information for image capture and tuning.,"libcamera, camera commands, tuning files.",Reference,False,camera project; computer vision; Raspberry Pi,deep-learning
pi-005,OpenCV Python Tutorials,https://docs.opencv.org/4.x/d6/d00/tutorial_py_root.html,official docs,Official,Raspberry Pi 5,OpenCV Python,intermediate,written,Official OpenCV Python tutorial index for image processing and computer vision basics.,"Images, video, processing, contours, detection basics.",Reference,False,computer vision; Raspberry Pi 5; Python,deep-learning; optimal
pi-006,OpenCV: Cascade Classifier Tutorial,https://docs.opencv.org/4.x/db/d28/tutorial_cascade_classifier.html,official docs,Official,Raspberry Pi 5,object/face detection,intermediate,written,Introduces classic object/face detection concepts before advanced neural network models.,Haar/LBP cascade classifiers and detection flow.,60-120 min,False,computer vision robot; face detection; camera projects,deep-learning
pi-007,LearnOpenCV: Getting Started with OpenCV,https://learnopencv.com/getting-started-with-opencv/,written guide,Curated,Raspberry Pi 5,OpenCV beginner,beginner-plus,written,Beginner-friendly OpenCV learning path with Python and C++ examples.,"OpenCV setup, images, beginner projects.",Reference,False,computer vision; Python; Raspberry Pi,optimal; deep-learning
pi-008,PyImageSearch: OpenCV Tutorial Guide,https://pyimagesearch.com/2018/07/19/opencv-tutorial-a-guide-to-learn-opencv/,written guide,Curated,Raspberry Pi 5,OpenCV fundamentals,beginner-plus,written,Gentle introduction to OpenCV fundamentals and image processing tasks.,"Reading images, transformations, basic image processing.",60-120 min,False,computer vision; Python; beginner vision,optimal; deep-learning
pi-009,Raspberry Pi Documentation: AI Camera,https://www.raspberrypi.com/documentation/accessories/ai-camera.html,official docs,Official,Raspberry Pi 5,AI camera,advanced,written,Later-stage resource for running prepackaged AI camera models on Raspberry Pi AI Camera.,"AI camera setup, MobileNet SSD, PoseNet examples.",Reference,False,advanced computer vision; Raspberry Pi 5; AI robot future path,deep-learning
jet-001,NVIDIA: Jetson for AI Education,https://developer.nvidia.com/embedded/learn/jetson-ai-education,official docs,Official,Jetson Nano,Jetson AI education,advanced,written,"Official hub for learning AI, deep learning, and computer vision on Jetson.","AI robotics education, PyTorch/TensorFlow, edge AI.",Reference,False,advanced AI robot; computer vision robotics; future path,deep-learning
jet-002,NVIDIA DLI: Getting Started with AI on Jetson Nano,https://courses.nvidia.com/courses/course-v1:DLI+S-RX-02+V2/,course,Official,Jetson Nano,AI on Jetson Nano,advanced,hands-on,Hands-on Jupyter notebook course for classification and computer vision on Jetson.,"Image classification, deep learning models, Jetson setup.",Several hours,False,advanced computer vision; Jetson Nano; AI robot,deep-learning
jet-003,JetBot Official Getting Started,https://jetbot.org/master/getting_started.html,official docs,Official,Jetson Nano,JetBot robotics,advanced,hands-on,"Official JetBot examples for basic motion, teleoperation, camera streaming, and AI robot activities.","JetBot assembly/use, basic motion, camera streaming, AI examples.",Several hours,True,advanced AI robot; Jetson Nano; robotics,deep-learning
jet-004,NVIDIA JetBot GitHub Repository,https://github.com/NVIDIA-AI-IOT/jetbot,official docs,Official,Jetson Nano,JetBot source code,advanced,written,Open-source JetBot code and documentation for advanced learners building AI robot projects.,"JetBot notebooks, robotics examples, source code.",Reference,True,advanced robotics; Jetson Nano; AI robot,deep-learning
jet-005,NVIDIA Jetson AI Fundamentals Playlist,https://www.youtube.com/playlist?list=PL5B692fm6--uQRRDTPsJDp4o0xbzkoyf8,video,Official,Jetson Nano,Jetson AI fundamentals,advanced,video,"Official video playlist for setup, image classification, object detection, and Jetson AI concepts.",Jetson setup and AI model training/inference.,Several hours,False,video learner; Jetson; AI robotics future path,deep-learning
jet-006,Jetson AI Lab,https://www.jetson-ai-lab.com/,official docs,Official,Jetson,edge AI models,advanced,written,Advanced resource for running generative and vision AI models on Jetson devices.,"Edge AI tutorials, optimized models, on-device AI.",Reference,False,future AI robotics; advanced path; Jetson,deep-learning
search-001,YouTube Search: Beginner Arduino Robotics,https://www.youtube.com/results?search_query=Arduino+beginner+robotics+ultrasonic+sensor+motor+driver+tutorial,video search,Suggested Search,Arduino,robotics beginner videos,beginner-plus,video,Use when the learner prefers videos and the roadmap step involves Arduino robotics.,Look for recent beginner tutorials with wiring diagrams and clear parts list.,Search,True,video learners; Arduino robotics,fastest; optimal
search-002,YouTube Search: Raspberry Pi Pico W Ultrasonic Sensor,https://www.youtube.com/results?search_query=Raspberry+Pi+Pico+W+ultrasonic+sensor+MicroPython+beginner+tutorial,video search,Suggested Search,Raspberry Pi Pico W,ultrasonic sensor videos,beginner-plus,video,Use when the learner prefers videos and needs a Pico W distance-sensing project.,"MicroPython code, trigger/echo wiring, voltage compatibility.",Search,False,Pico W; video learner; obstacle sensing,fastest; optimal
search-003,YouTube Search: ESP32 Telegram Motion Alert,https://www.youtube.com/results?search_query=ESP32+Telegram+motion+sensor+notification+beginner+tutorial,video search,Suggested Search,ESP32,Telegram motion alert videos,beginner-plus,video,Use for learners who prefer videos and want room security alerts.,"PIR sensor wiring, Telegram bot token handling, Wi-Fi.",Search,False,room security; ESP32; phone alerts,fastest
search-004,YouTube Search: Raspberry Pi OpenCV Beginner,https://www.youtube.com/results?search_query=Raspberry+Pi+OpenCV+Python+camera+beginner+tutorial,video search,Suggested Search,Raspberry Pi 5,OpenCV camera videos,intermediate,video,Use when the learner wants computer vision and prefers video explanations.,"Camera capture, OpenCV setup, simple detection.",Search,False,computer vision; Raspberry Pi; video learner,optimal; deep-learning
search-005,YouTube Search: ESP32 Smart Plant Monitor,https://www.youtube.com/results?search_query=ESP32+smart+plant+monitor+soil+moisture+sensor+beginner+tutorial,video search,Suggested Search,ESP32,smart plant videos,beginner-plus,video,Use for video-first smart plant monitor learners.,"Soil sensor wiring, ESP32 data reading, alerts/dashboard.",Search,False,smart plant monitor; ESP32; video learner,fastest; optimal
uniq-001,PhET Circuit Construction Kit: DC,https://phet.colorado.edu/en/simulations/circuit-construction-kit-dc,simulator,Official,General Electronics,circuit simulation,beginner,hands-on,"Lets beginners build batteries, switches, bulbs, resistors, fuses, and meters in a safe virtual lab before touching real parts.","Use before first breadboard circuit to learn closed circuits, current flow, and measurements.",20-40 min,False,absolute beginner; safety; lowest budget; no hardware,lowest-cost; deep-learning; optimal
uniq-002,Falstad CircuitJS Browser Simulator,https://www.falstad.com/circuit/,simulator,Curated,General Electronics,animated circuit simulation,beginner-plus,hands-on,"Shows moving current and live component behavior, which helps learners visually understand circuits instead of only reading equations.","Try LED, resistor, capacitor, switch, and motor driver concepts visually.",20-45 min,False,visual learner; circuit basics; deep fundamentals,deep-learning; lowest-cost
uniq-003,All About Circuits: Free Electronics Textbook,https://www.allaboutcircuits.com/textbook/,written guide,Curated,General Electronics,electronics textbook,beginner-plus,written,A free multi-volume electronics textbook that supports learners who want deeper fundamentals after simple projects.,"Use for Ohm’s law, series/parallel circuits, DC basics, semiconductors, and digital logic.",30-60 min per section,True,deep learning path; electronics fundamentals; safety,deep-learning
uniq-004,Khan Academy: Circuit Analysis,https://www.khanacademy.org/science/electrical-engineering/ee-circuit-analysis-topic,course,Curated,General Electronics,circuit analysis,beginner-plus,video,Gives clear free video lessons on circuit concepts for users who prefer videos and fundamentals before building.,"Circuit elements, voltage, current, Ohm’s law, series and parallel circuits.",30-60 min,False,video learner; fundamentals; deep learning path,deep-learning; lowest-cost
uniq-005,Electronics Tutorials: Input and Output Devices,https://www.electronics-tutorials.ws/io/io_1.html,written guide,Curated,General Electronics,sensors and actuators,beginner-plus,written,Connects hardware terms like input sensors and output actuators to real project behavior.,"Understand how sensors become inputs and LEDs, buzzers, relays, and motors become outputs.",25-45 min,True,general electronics; robotics; IoT; sensors,deep-learning; optimal
uniq-006,Multisim Live Online Circuit Simulator,https://www.multisim.com/,simulator,Curated,General Electronics,SPICE circuit simulation,intermediate,hands-on,Lets learners move from breadboard-style thinking to schematic simulation when their circuits become more advanced.,Use after basic circuits to validate simple analog circuits and schematics.,30-60 min,False,intermediate electronics; deep learning; circuit validation,deep-learning
uniq-007,CircuitVerse Digital Logic Simulator,https://circuitverse.org/,simulator,Curated,General Electronics,digital logic,beginner-plus,hands-on,"Useful for learners who want to understand logic gates before sensors, robots, or embedded control systems.","Logic gates, truth tables, simple digital circuits, and visual simulation.",30-60 min,False,digital electronics; logic; deep learning path,deep-learning; lowest-cost
uniq-008,Wokwi Arduino Simulator Examples,https://wokwi.com/arduino,simulator,Curated,Arduino,Arduino simulation,beginner,hands-on,Lets learners test Arduino code and circuit ideas in the browser before buying or wiring parts.,"Run LED, button, sensor, and display sketches safely in simulation.",15-40 min,False,Arduino; no hardware; low budget; fastest path,lowest-cost; fastest; optimal
uniq-009,Wokwi ESP32 Simulator Examples,https://wokwi.com/esp32,simulator,Curated,ESP32,ESP32 simulation,beginner-plus,hands-on,Great for IoT learners who want to prototype ESP32 code before wiring physical modules.,"Simulate Wi-Fi-style code structure, sensors, LEDs, and displays.",20-45 min,False,ESP32; IoT; no hardware; low budget,lowest-cost; fastest; optimal
uniq-010,Wokwi Raspberry Pi Pico Simulator Examples,https://wokwi.com/raspberry-pi-pico,simulator,Curated,Raspberry Pi Pico W,Pico simulation,beginner,hands-on,Lets Pico learners test MicroPython and GPIO logic before wiring components.,"Blink, buttons, sensors, and MicroPython practice.",20-45 min,False,Pico W; MicroPython; no hardware,lowest-cost; fastest; optimal
uniq-011,SparkFun Inventor’s Kit Experiment Guide,https://learn.sparkfun.com/tutorials/sparkfun-inventors-kit-experiment-guide---v40/all,course,Curated,Arduino,starter kit experiments,beginner,hands-on,A structured experiment guide that helps beginners progress through multiple circuits instead of jumping randomly between projects.,"LEDs, buttons, sensors, motors, code structure, and progressive experiments.",1-3 hours,True,Arduino beginner; structured learning; robotics basics,optimal; deep-learning
uniq-012,DroneBot Workshop Tutorials Hub,https://dronebotworkshop.com/tutorials/,video,Curated,Arduino/ESP32/Pico,maker tutorials,beginner-plus,video,"A practical maker tutorial hub covering Arduino, ESP32, Raspberry Pi, sensors, motors, and robotics with videos and written explanations.",Use for video-first learners who need project walkthroughs.,Search/resource hub,True,video learner; robotics; IoT; sensors,optimal; fastest
